iter	Passed	Remaining
0	3	3154
1	6	3047
2	10	3338
3	13	3263
4	16	3348
5	19	3181
6	21	3109
7	24	2985
8	27	3056
9	31	3088
10	34	3129
11	36	3040
12	40	3053
13	43	3032
14	45	3006
15	49	3056
16	52	3047
17	55	3041
18	58	3010
19	62	3047
20	65	3031
21	67	2992
22	70	2983
23	72	2960
24	75	2930
25	80	3013
26	83	3016
27	86	2996
28	88	2977
29	93	3018
30	96	3012
31	98	2991
32	102	2989
33	107	3044
34	109	3032
35	112	3012
36	115	3003
37	121	3078
38	124	3059
39	126	3036
40	129	3040
41	135	3091
42	138	3082
43	141	3070
44	144	3056
45	147	3061
46	152	3087
47	154	3070
48	158	3079
49	162	3087
50	166	3102
51	169	3090
52	172	3079
53	176	3088
54	179	3077
55	182	3069
56	184	3058
57	189	3071
58	192	3066
59	195	3061
60	197	3042
61	201	3050
62	205	3049
63	208	3044
64	210	3028
65	223	3161
66	225	3145
67	229	3141
68	231	3121
69	233	3105
70	236	3089
71	238	3068
72	240	3058
73	243	3052
74	245	3031
75	248	3020
76	250	2999
77	252	2981
78	255	2980
79	258	2971
80	260	2952
81	262	2934
82	264	2917
83	265	2898
84	267	2881
85	271	2880
86	273	2869
87	275	2857
88	278	2846
89	280	2831
90	282	2825
91	286	2829
92	289	2823
93	291	2810
94	293	2797
95	295	2781
96	298	2779
97	302	2782
98	304	2770
99	306	2758
100	308	2746
101	319	2811
102	322	2808
103	324	2799
104	327	2791
105	332	2805
106	335	2796
107	337	2787
108	341	2787
109	345	2795
110	347	2784
111	349	2772
112	351	2760
113	353	2749
114	357	2751
115	359	2740
116	361	2729
117	363	2718
118	365	2707
119	367	2698
120	371	2701
121	373	2690
122	376	2682
123	377	2668
124	379	2658
125	381	2647
126	385	2649
127	387	2643
128	389	2632
129	392	2624
130	394	2616
131	396	2606
132	400	2612
133	402	2602
134	404	2593
135	406	2584
136	408	2573
137	410	2566
138	414	2565
139	417	2563
140	419	2555
141	421	2549
142	423	2539
143	425	2530
144	429	2529
145	431	2522
146	433	2514
147	435	2507
148	437	2499
149	439	2489
150	442	2487
151	445	2484
152	447	2479
153	450	2473
154	452	2467
155	455	2463
156	458	2462
157	460	2455
158	462	2446
159	464	2439
160	466	2431
161	468	2423
162	471	2423
163	474	2419
164	476	2410
165	478	2404
166	480	2396
167	482	2389
168	486	2392
169	489	2390
170	491	2385
171	494	2380
172	496	2374
173	500	2376
174	503	2371
175	505	2365
176	507	2360
177	509	2354
178	512	2348
179	516	2351
180	518	2344
181	520	2337
182	522	2331
183	524	2325
184	526	2320
185	530	2319
186	532	2316
187	535	2312
188	537	2307
189	539	2301
190	544	2308
191	547	2302
192	549	2297
193	551	2291
194	554	2289
195	558	2289
196	561	2287
197	563	2283
198	565	2277
199	569	2279
200	574	2285
201	577	2281
202	581	2283
203	586	2287
204	589	2287
205	592	2282
206	595	2282
207	600	2285
208	603	2285
209	608	2290
210	614	2296
211	616	2293
212	619	2289
213	622	2285
214	628	2293
215	630	2289
216	634	2287
217	636	2283
218	642	2289
219	644	2286
220	647	2282
221	650	2278
222	653	2277
223	658	2279
224	660	2276
225	663	2273
226	667	2273
227	671	2274
228	674	2270
229	676	2263
230	678	2258
231	682	2259
232	686	2260
233	689	2257
234	693	2256
235	698	2261
236	701	2258
237	703	2253
238	705	2247
239	708	2244
240	714	2249
241	717	2246
242	719	2241
243	723	2241
244	727	2241
245	730	2239
246	733	2237
247	737	2235
248	742	2240
249	745	2235
250	747	2231
251	749	2225
252	755	2230
253	759	2229
254	761	2224
255	763	2219
256	768	2220
257	770	2217
258	773	2213
259	776	2210
260	780	2210
261	784	2209
262	786	2205
263	789	2200
264	793	2200
265	798	2203
266	800	2198
267	803	2194
268	806	2191
269	811	2193
270	814	2190
271	817	2186
272	820	2184
273	824	2183
274	827	2181
275	830	2177
276	833	2175
277	835	2171
278	840	2172
279	843	2168
280	845	2164
281	850	2166
282	857	2172
283	862	2174
284	866	2173
285	868	2169
286	871	2166
287	876	2168
288	879	2164
289	882	2161
290	885	2156
291	890	2159
292	893	2155
293	895	2150
294	898	2146
295	901	2144
296	905	2144
297	908	2140
298	911	2136
299	913	2132
300	917	2130
301	920	2128
302	923	2124
303	925	2119
304	928	2114
305	931	2112
306	936	2114
307	939	2110
308	942	2107
309	948	2111
310	951	2108
311	954	2105
312	957	2102
313	961	2101
314	964	2097
315	967	2093
316	970	2090
317	975	2091
318	978	2089
319	981	2085
320	983	2080
321	987	2078
322	992	2080
323	995	2077
324	997	2072
325	1002	2072
326	1005	2069
327	1008	2066
328	1012	2064
329	1017	2066
330	1020	2062
331	1023	2058
332	1025	2053
333	1029	2052
334	1032	2049
335	1034	2045
336	1037	2041
337	1042	2041
338	1045	2038
339	1047	2033
340	1050	2030
341	1054	2028
342	1057	2024
343	1059	2019
344	1061	2016
345	1064	2011
346	1066	2007
347	1069	2004
348	1071	1999
349	1073	1993
350	1075	1988
351	1077	1983
352	1079	1979
353	1083	1977
354	1085	1972
355	1087	1967
356	1089	1961
357	1091	1956
358	1093	1952
359	1097	1951
360	1100	1947
361	1102	1943
362	1104	1939
363	1107	1934
364	1110	1931
365	1113	1928
366	1115	1923
367	1117	1918
368	1119	1914
369	1121	1909
370	1124	1906
371	1127	1902
372	1129	1898
373	1131	1893
374	1133	1888
375	1135	1884
376	1138	1881
377	1141	1877
378	1143	1873
379	1145	1869
380	1148	1865
381	1150	1861
382	1153	1857
383	1155	1853
384	1158	1850
385	1161	1847
386	1164	1843
387	1166	1839
388	1170	1839
389	1172	1834
390	1175	1830
391	1177	1825
392	1179	1821
393	1182	1818
394	1185	1815
395	1187	1811
396	1189	1807
397	1191	1802
398	1193	1798
399	1196	1795
400	1199	1791
401	1201	1787
402	1204	1783
403	1206	1779
404	1208	1775
405	1211	1772
406	1214	1769
407	1217	1766
408	1219	1762
409	1221	1757
410	1223	1753
411	1227	1752
412	1229	1747
413	1231	1743
414	1234	1739
415	1236	1735
416	1237	1730
417	1241	1728
418	1244	1725
419	1246	1721
420	1248	1716
421	1250	1713
422	1252	1708
423	1257	1708
424	1260	1704
425	1262	1700
426	1264	1697
427	1266	1693
428	1270	1691
429	1274	1689
430	1276	1685
431	1278	1681
432	1280	1677
433	1282	1673
434	1287	1672
435	1289	1668
436	1292	1664
437	1294	1660
438	1296	1656
439	1302	1657
440	1304	1653
441	1306	1649
442	1309	1646
443	1316	1648
444	1319	1646
445	1322	1642
446	1325	1639
447	1329	1638
448	1332	1635
449	1335	1632
450	1338	1629
451	1342	1627
452	1347	1626
453	1349	1623
454	1352	1620
455	1358	1620
456	1361	1617
457	1363	1613
458	1367	1611
459	1371	1610
460	1374	1607
461	1377	1603
462	1380	1601
463	1383	1598
464	1387	1596
465	1390	1592
466	1392	1589
467	1396	1587
468	1400	1586
469	1403	1582
470	1406	1579
471	1409	1576
472	1411	1573
473	1414	1569
474	1417	1566
475	1421	1565
476	1424	1562
477	1426	1558
478	1429	1554
479	1434	1553
480	1437	1550
481	1439	1546
482	1441	1542
483	1443	1538
484	1446	1535
485	1450	1533
486	1452	1529
487	1454	1525
488	1456	1521
489	1458	1517
490	1464	1518
491	1466	1514
492	1468	1510
493	1470	1506
494	1473	1502
495	1478	1502
496	1481	1499
497	1483	1495
498	1485	1491
499	1488	1488
500	1492	1486
501	1494	1483
502	1497	1479
503	1499	1475
504	1501	1471
505	1504	1468
506	1507	1465
507	1508	1461
508	1511	1458
509	1514	1454
510	1519	1454
511	1522	1450
512	1524	1447
513	1526	1443
514	1528	1439
515	1531	1436
516	1534	1433
517	1536	1429
518	1538	1426
519	1541	1422
